alpha,2,3,4,5,6,7,8,9,10
0.5,0.7166,1.0254,1.2142,1.3498,1.4548,1.54,1.6113,1.6724,1.7258
0.25,1.2887,1.5407,1.6972,1.8106,1.899,1.9711,2.0317,2.0838,2.1295
0.1,1.8167,2.0249,2.1561,2.252,2.3272,2.3887,2.4407,2.4856,2.525
0.05,2.1385,2.3239,2.442,2.5286,2.5967,2.6527,2.7,2.7411,2.7772
0.025,2.4208,2.5888,2.6965,2.7758,2.8384,2.89,2.9337,2.9717,3.0052
0.01,2.7526,2.9027,2.9997,3.0715,3.1283,3.1753,3.2153,3.25,3.2807
0.005,2.98,3.1198,3.2103,3.2775,3.3309,3.3751,3.4127,3.4455,3.4745
0.0025,3.193,3.3232,3.4082,3.4716,3.522,3.5638,3.5995,3.6307,3.6582
0.001,3.4549,3.5751,3.6541,3.7132,3.7603,3.7995,3.8331,3.8623,3.8883
0.0005,3.6412,3.755,3.8301,3.8864,3.9314,3.969,4.0011,4.0292,4.0541
0.00025,3.8188,3.927,3.9987,4.0526,4.0958,4.1319,4.1628,4.1898,4.2138
0.0001,4.0421,4.1439,4.2117,4.2629,4.304,4.3384,4.3678,4.3936,4.4166
0.00005,4.2035,4.3011,4.3664,4.4157,4.4554,4.4886,4.5172,4.5422,4.5644
0.000025,4.3592,4.453,4.516,4.5637,4.6022,4.6344,4.662,4.6863,4.7079
0.00001,4.5573,4.6466,4.7069,4.7527,4.7897,4.8206,4.8473,4.8707,4.8915
